temp,dew,humidity,precip,windspeed,pollen_intensity,Clear,Partially cloudy,Rain,"Rain, Overcast","Rain, Partially cloudy",tem amplitude,Kmeans label,birch,dbscan,risk level
21.4,14.8,67.8,0.0,24.5,1.0,1.0,0.0,0.0,0.0,0.0,9.400000000000002,0,0,0,2
22.1,16.1,69.6,0.0,26.9,1.0,1.0,0.0,0.0,0.0,0.0,10.5,0,0,0,1
21.6,15.2,68.4,0.0,22.7,1.0,1.0,0.0,0.0,0.0,0.0,8.799999999999997,0,0,0,1
22.3,15.3,66.6,0.0,22.8,1.0,1.0,0.0,0.0,0.0,0.0,11.299999999999997,0,0,0,1
22.9,17.5,72.8,0.0,20.7,1.0,1.0,0.0,0.0,0.0,0.0,7.300000000000001,0,0,0,1
22.0,19.2,84.8,0.346,20.1,1.0,0.0,0.0,1.0,0.0,0.0,6.0,2,1,0,1
22.5,21.0,92.0,2.707,23.6,1.0,0.0,0.0,1.0,0.0,0.0,4.5,2,1,-1,1
21.3,18.6,85.8,3.252,22.7,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2,1,-1,1
21.3,14.9,69.0,0.105,21.0,1.0,0.0,0.0,1.0,0.0,0.0,8.399999999999999,0,0,0,1
20.3,13.4,66.5,0.396,25.7,1.0,0.0,0.0,1.0,0.0,0.0,7.800000000000001,0,0,0,1
20.5,11.7,59.8,0.0,33.0,1.0,1.0,0.0,0.0,0.0,0.0,9.599999999999998,1,0,-1,2
21.4,12.0,57.2,0.0,27.4,1.0,1.0,0.0,0.0,0.0,0.0,10.100000000000001,1,0,2,2
